club_id,club_code,name_x,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url_x,competition_id,competition_code,name_y,sub_type,type,country_id,country_name,domestic_league_code,confederation,url_y,is_major_national_league
4171,benevento-calcio,Benevento Calcio,IT1,,31,26.7,16,51.6,2,Ciro Vigorito,16867,€-1.93m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/benevento-calcio/startseite/verein/4171,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
6574,us-sassuolo,US Sassuolo,IT1,,32,23.8,11,34.4,7,Mapei Stadium - Città del Tricolore,21584,+€49.15m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
1387,acn-siena-1904,Siena FC,IT1,,20,25.5,2,10.0,0,Artemio Franchi,15373,+-0,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
1390,cagliari-calcio,Cagliari Calcio,IT1,,24,27.1,11,45.8,8,Unipol Domus,16365,+€5.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/cagliari-calcio/startseite/verein/1390,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,,28,24.6,6,21.4,1,Adriatico,20476,+€4.60m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/delfino-pescara-1936/startseite/verein/2921,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
430,ac-florenz,Associazione Calcio Fiorentina,IT1,,25,25.9,10,40.0,10,Artemio Franchi,43147,€-31.97m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
5,ac-mailand,Associazione Calcio Milan,IT1,,26,26.3,20,76.9,14,Giuseppe Meazza,75923,€-70.90m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
1627,catania-calcio,Catania FC,IT1,,27,26.0,5,18.5,0,Cibali - Angelo Massimino,20204,€-101k,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
2239,us-cremonese,US Cremonese,IT1,,29,25.4,9,30.0,2,Giovanni Zini,16003,+€5.00m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/us-cremonese/startseite/verein/2239,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
252,genua-cfc,Genoa Cricket and Football Club,IT1,,29,26.5,18,62.1,6,Luigi Ferraris,34901,+€12.94m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/genua-cfc/startseite/verein/252,IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1,True
